City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Conde,BR,84.2,clear sky,-7.2597,-34.9075,Pousada Beija Flor
192,Gamboma,CG,76.08,overcast clouds,-1.8764,15.8644,Residence N'Keni
194,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,Will T Place
196,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
203,General Higinio Morinigo,PY,75.74,clear sky,-25.95,-55.9167,
205,Kirakira,SB,79.93,overcast clouds,-10.4544,161.9205,SanBiz Lodge
206,Ancud,CL,79.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
211,Morondava,MG,83.79,moderate rain,-20.2833,44.2833,La Case Bambou
214,Presidente Medici,BR,83.98,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
215,Champerico,GT,82.4,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
219,La Reforma,MX,84.99,clear sky,25.0833,-108.05,Arremar Angostura
225,Inhambane,MZ,81.48,few clouds,-23.865,35.3833,Oceano
227,Banjar,ID,77.0,scattered clouds,-8.19,114.9675,The Hamsa Resort
228,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Pirineos
242,Santa Isabel,BR,89.6,few clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
246,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
250,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
251,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
253,Santa Cruz Cabralia,BR,82.4,few clouds,-16.2781,-39.0247,Portobali Hotel
257,San Isidro,PE,77.0,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
260,Coronel Oviedo,PY,78.73,clear sky,-25.4167,-56.45,DESPENSA LOS PRIMOS
266,Sao Felix Do Xingu,BR,82.4,broken clouds,-6.6447,-51.995,Rio Xingu Camping
274,Leo,BF,81.16,clear sky,11.1,-2.1,Hotel Sissilis
278,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
279,Butaritari,KI,80.2,moderate rain,3.0707,172.7902,Isles Sunset Lodge
288,Abapo,BO,78.96,overcast clouds,-18.8333,-63.4667,
289,Mbuguni,TZ,78.8,few clouds,-3.5667,36.95,kaza Moyo Modern Resort
291,Buchanan,LR,78.8,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
292,Carlos Chagas,BR,85.23,broken clouds,-17.7031,-40.7664,Minas Hotel
293,Caibarien,CU,75.2,clear sky,22.5206,-79.4669,La Nena
295,Touros,BR,84.2,clear sky,-5.1989,-35.4608,INN NEW HORIZON
300,Oranjestad,AW,84.2,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
301,Damara,CF,80.6,clear sky,4.9608,18.7035,
302,El Salto,MX,87.01,clear sky,20.3333,-104.5,ramirez
306,Lagos,NG,81.66,clear sky,6.5833,3.75,
310,Auki,SB,79.02,overcast clouds,-8.7676,160.7034,Auki Motel
311,Comodoro Rivadavia,AR,84.2,clear sky,-45.8667,-67.5,Austral Hotel
312,Xochitlan,MX,78.19,clear sky,18.7,-97.7833,Hotel paraiso
313,Hobyo,SO,76.14,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
318,San Andres,CO,80.6,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
320,Iquitos,PE,80.6,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
321,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
322,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
325,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
330,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
331,Mazagao,BR,84.2,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
332,Coihaique,CL,87.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
339,Kavieng,PG,82.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
353,Yenagoa,NG,80.8,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
358,Urubicha,BO,86.18,overcast clouds,-15.3833,-62.95,
364,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
369,Mitsamiouli,KM,83.08,few clouds,-11.3847,43.2844,Foyer ADM
371,San Carlos Del Zulia,VE,89.78,scattered clouds,9.0,-71.9135,Hotel El Manantial
375,Axim,GH,80.1,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
376,Faanui,PF,80.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
377,Sola,VU,81.28,overcast clouds,-13.8833,167.55,Leumerus Bungalows
378,Cepu,ID,75.18,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
380,Manggar,ID,78.24,broken clouds,-2.8833,108.2667,Guest Hotel
389,Sagua La Grande,CU,75.2,light rain,22.8067,-80.0756,Hotel Telégrafo
393,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
398,Ambon,ID,75.2,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
399,Jacareacanga,BR,88.88,broken clouds,-6.2222,-57.7528,Casa do Ian😎
402,Tefe,BR,89.6,light rain,-3.3542,-64.7114,Aracati Hotel
