City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,Port Lincoln,-34.7333,135.8667,60.1,83,1,15.43,AU,2021-02-02 18:24:06
208,Inirida,3.8653,-67.9239,90.39,53,97,3.78,CO,2021-02-02 18:24:06
209,Evensk,61.95,159.2333,1.29,93,100,4.88,RU,2021-02-02 18:24:06
210,Pandan,14.0453,124.1694,77.63,84,83,16.78,PH,2021-02-02 18:24:07
211,Ratnagiri,16.9833,73.3,76.6,60,0,8.81,IN,2021-02-02 18:24:07
212,Port Macquarie,-31.4333,152.9167,64.99,90,11,1.01,AU,2021-02-02 18:23:50
213,Lazaro Cardenas,17.9583,-102.2,84.88,50,0,7.09,MX,2021-02-02 18:24:07
214,Svetlogorsk,52.6333,29.7333,17.47,96,63,8.21,BY,2021-02-02 18:24:07
215,Vila Franca Do Campo,37.7167,-25.4333,57.2,62,40,24.16,PT,2021-02-02 18:24:07
216,Provideniya,64.3833,-173.3,6.4,92,100,15.52,RU,2021-02-02 18:24:07
217,Kupang,-10.1667,123.5833,79.07,84,100,5.77,ID,2021-02-02 18:24:02
218,Del Rio,29.3627,-100.8968,64.4,25,1,14.97,US,2021-02-02 18:24:08
219,Buluang,13.3068,123.3425,74.12,86,82,7.05,PH,2021-02-02 18:24:08
220,Ponta Do Sol,32.6667,-17.1,62.01,65,78,1.01,PT,2021-02-02 18:24:08
221,Havelock,34.8791,-76.9013,43.0,56,90,18.41,US,2021-02-02 18:24:08
222,Kamaishi,39.2667,141.8833,22.42,83,2,4.32,JP,2021-02-02 18:24:08
223,Saint-Pierre,-21.3393,55.4781,82.4,74,20,3.44,RE,2021-02-02 18:24:09
224,Manavalakurichi,8.1333,77.3,84.2,74,20,12.71,IN,2021-02-02 18:24:09
225,Talavera De La Reina,39.9635,-4.8308,55.0,75,84,5.99,ES,2021-02-02 18:23:25
226,Dolinsk,47.35,142.8,-2.2,84,90,4.47,RU,2021-02-02 18:24:09
227,Artyom,40.4723,50.333,48.2,93,75,11.5,AZ,2021-02-02 18:24:09
228,Northam,51.0333,-4.2167,50.0,91,68,5.99,GB,2021-02-02 18:24:09
229,Le Port,-20.9373,55.2919,78.8,73,90,17.27,RE,2021-02-02 18:24:10
230,Montepuez,-13.1256,38.9997,73.26,88,49,2.3,MZ,2021-02-02 18:24:10
231,Kawhia,-38.0651,174.8183,57.0,94,2,1.01,NZ,2021-02-02 18:24:10
232,Santa Maria,-29.6842,-53.8069,82.4,69,75,10.36,BR,2021-02-02 18:24:10
233,Kirakira,-10.4544,161.9205,78.78,84,99,7.02,SB,2021-02-02 18:24:10
234,Alofi,-19.0595,-169.9187,77.0,100,100,4.61,NU,2021-02-02 18:24:10
235,Shimoda,34.6667,138.95,35.01,60,0,1.01,JP,2021-02-02 18:24:10
236,Kailua,21.4022,-157.7394,73.4,78,90,3.44,US,2021-02-02 18:24:11
237,Franklin,39.9667,-83.0166,28.0,74,90,13.8,US,2021-02-02 18:22:55
238,Ewa Beach,21.3156,-158.0072,68.0,94,75,3.44,US,2021-02-02 18:24:11
239,Taraz,42.9,71.3667,39.2,87,90,4.47,KZ,2021-02-02 18:24:11
240,Fortuna,40.5982,-124.1573,51.01,93,90,1.48,US,2021-02-02 18:24:11
241,Cabinda,-5.55,12.2,79.72,82,96,8.14,AO,2021-02-02 18:24:12
242,Wichita,37.6922,-97.3375,52.0,53,1,17.27,US,2021-02-02 18:20:05
243,Mount Isa,-20.7333,139.5,78.8,78,90,4.61,AU,2021-02-02 18:24:12
244,Valdivia,-39.8142,-73.2459,78.8,50,0,6.91,CL,2021-02-02 18:23:54
245,Wadi Musa,30.3222,35.4793,56.7,45,0,1.79,JO,2021-02-02 18:24:12
246,Manta,-0.95,-80.7333,80.6,78,75,3.44,EC,2021-02-02 18:21:20
247,Pitkyaranta,61.5734,31.4792,13.53,96,40,5.99,RU,2021-02-02 18:24:13
248,Severnyy-Kospashskiy,59.0925,57.8008,8.24,97,100,2.53,RU,2021-02-02 18:24:13
249,Imbituba,-28.24,-48.6703,82.4,78,75,10.36,BR,2021-02-02 18:21:09
250,Yenagoa,4.9247,6.2642,82.13,74,70,6.17,NG,2021-02-02 18:24:13
251,Immokalee,26.4187,-81.4173,62.6,34,1,17.27,US,2021-02-02 18:24:13
252,Sao Filipe,14.8961,-24.4956,75.27,67,4,8.32,CV,2021-02-02 18:24:13
253,Lompoc,34.6391,-120.4579,57.0,76,1,3.89,US,2021-02-02 18:24:14
254,Kaitangata,-46.2817,169.8464,55.06,88,43,4.14,NZ,2021-02-02 18:24:14
255,San Jose,37.3394,-121.895,55.99,87,90,4.61,US,2021-02-02 18:23:37
256,Batemans Bay,-35.7167,150.1833,62.01,69,55,4.0,AU,2021-02-02 18:24:14
257,Bogdand,47.4167,22.9333,37.4,100,75,1.14,RO,2021-02-02 18:24:14
258,Harpalpur,25.2884,79.3347,59.4,36,17,4.9,IN,2021-02-02 18:24:15
259,Dryden,49.7833,-92.7503,19.4,86,90,13.8,CA,2021-02-02 18:24:15
260,Nexo,55.0607,15.1306,28.4,100,40,2.3,DK,2021-02-02 18:24:15
261,Keuruu,62.2667,24.7,7.0,85,11,4.61,FI,2021-02-02 18:24:15
262,Nishihara,26.1842,127.7558,60.8,54,40,8.05,JP,2021-02-02 18:24:15
263,Samarai,-10.6167,150.6667,81.59,77,98,10.4,PG,2021-02-02 18:24:16
264,Inuvik,68.3499,-133.7218,-29.2,68,100,3.44,CA,2021-02-02 18:24:16
265,Pitimbu,-7.4706,-34.8086,86.0,66,75,14.97,BR,2021-02-02 18:24:17
266,Calvinia,-31.4707,19.776,81.25,23,0,12.39,ZA,2021-02-02 18:24:17
267,Sola,-13.8833,167.55,78.8,100,90,9.22,VU,2021-02-02 18:24:17
268,Riyadh,24.6877,46.7219,66.2,32,0,4.61,SA,2021-02-02 18:24:17
269,Maceio,-9.6658,-35.7353,86.0,62,40,9.22,BR,2021-02-02 18:24:18
270,Victor Harbor,-35.5667,138.6167,59.0,92,4,10.94,AU,2021-02-02 18:19:29
271,Portland,45.5234,-122.6762,48.2,71,75,16.11,US,2021-02-02 18:22:48
272,Santiago De Compostela,42.8805,-8.5457,55.99,94,75,16.11,ES,2021-02-02 18:24:18
273,Raudeberg,61.9875,5.1352,26.01,86,0,8.05,NO,2021-02-02 18:24:18
