City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Kaitangata,NZ,-46.2817,169.8464,55.99,67,34,8.99,scattered clouds
231,Beringovskiy,RU,63.05,179.3167,-0.51,92,100,13.33,light snow
232,Shanhetun,CN,44.7,127.2,5.61,93,100,6.06,overcast clouds
233,Klaksvik,FO,62.2266,-6.589,35.6,51,40,18.41,scattered clouds
234,Koygorodok,RU,60.445,50.9968,22.64,98,100,5.77,light snow
235,Gazojak,TM,41.1875,61.4036,48.31,65,99,9.17,overcast clouds
236,Ostrovnoy,RU,68.0531,39.5131,10.56,92,100,21.05,overcast clouds
237,Fort Nelson,CA,58.8053,-122.7002,-13.0,58,75,2.3,broken clouds
238,Devarkonda,IN,16.7,78.9333,64.24,65,0,1.34,clear sky
239,Laguna,US,38.421,-121.4238,57.0,47,1,9.22,clear sky
240,Shimoda,JP,34.6667,138.95,34.0,70,1,1.01,clear sky
241,Guerrero Negro,MX,27.9769,-114.0611,67.32,51,93,18.34,overcast clouds
242,Santa Isabel,BR,-23.3156,-46.2214,89.6,51,20,11.5,few clouds
243,Rawatbhata,IN,24.9333,75.5833,59.29,48,7,10.45,clear sky
244,Haines Junction,CA,60.7522,-137.5108,-16.6,52,90,0.4,overcast clouds
245,Abu Samrah,SY,35.3029,37.1841,53.24,75,98,11.32,overcast clouds
246,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,61,0,25.32,clear sky
247,Weiser,US,44.251,-116.9693,44.6,42,1,5.75,clear sky
248,Margate,GB,51.3813,1.3862,46.0,88,72,1.99,broken clouds
249,Shenxian,CN,36.2411,115.6672,44.31,57,100,9.13,overcast clouds
250,Lorengau,PG,-2.0226,147.2712,81.72,76,98,4.52,overcast clouds
251,Oussouye,SN,12.485,-16.5469,80.6,65,0,6.91,clear sky
252,Grindavik,IS,63.8424,-22.4338,37.4,81,75,26.46,broken clouds
253,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.4,65,20,17.27,few clouds
254,Fort Dodge,US,42.4975,-94.168,19.4,79,75,17.27,light snow
255,Itupiranga,BR,-5.1347,-49.3267,93.2,55,40,4.61,scattered clouds
256,Araouane,ML,18.9048,-3.5265,74.53,15,80,6.15,broken clouds
257,San Isidro,PE,-12.1167,-77.05,77.0,65,0,5.75,clear sky
258,Krasnoborsk,RU,61.5598,45.934,16.38,96,100,4.07,light snow
259,Fengzhen,CN,40.4394,113.1536,21.11,80,0,7.25,clear sky
260,Coronel Oviedo,PY,-25.4167,-56.45,78.73,76,10,5.17,clear sky
261,Chumikan,RU,54.7183,135.315,-19.28,80,100,28.61,overcast clouds
262,Zhigansk,RU,66.7697,123.3711,-42.92,75,0,13.22,clear sky
263,Homer,US,59.6425,-151.5483,24.01,86,1,9.22,clear sky
264,Nouadhibou,MR,20.931,-17.0347,66.2,82,40,10.36,scattered clouds
265,Atambua,ID,-9.1061,124.8925,73.89,91,100,3.44,light rain
266,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.4,79,72,3.47,broken clouds
267,Lagoa,PT,39.05,-27.9833,55.29,73,1,23.78,clear sky
268,Port Hawkesbury,CA,45.6169,-61.3485,37.99,100,90,6.91,moderate rain
269,Menongue,AO,-14.6585,17.691,66.51,72,31,1.86,scattered clouds
270,Chissamba,AO,-12.1667,17.3333,64.87,83,31,5.46,scattered clouds
271,Cuamba,MZ,-14.8031,36.5372,71.46,94,100,2.15,light rain
272,Buraydah,SA,26.326,43.975,68.0,37,40,2.3,scattered clouds
273,Lamballe,FR,48.4676,-2.5144,48.0,93,50,1.99,scattered clouds
274,Leo,BF,11.1,-2.1,81.16,16,0,3.67,clear sky
275,Whyalla,AU,-33.0333,137.5833,53.6,76,0,9.22,clear sky
276,Lata,PT,40.1629,-8.3327,53.01,85,95,1.03,overcast clouds
277,Vorukh,TJ,39.8494,70.5838,33.75,60,19,6.11,few clouds
278,Puerto Escondido,MX,15.85,-97.0667,84.2,70,20,5.75,few clouds
279,Butaritari,KI,3.0707,172.7902,80.2,83,100,14.76,moderate rain
280,Leningradskiy,RU,69.3833,178.4167,-26.91,85,100,9.19,overcast clouds
281,Manyana,BW,-23.4,21.7167,68.83,81,100,6.04,overcast clouds
282,Erenhot,CN,43.6475,111.9767,17.89,89,0,13.6,clear sky
283,Gao,ML,16.6362,1.637,74.1,17,100,9.8,overcast clouds
284,Camacha,PT,33.0833,-16.3333,53.6,71,40,11.5,scattered clouds
285,Yulara,AU,-25.2406,130.9889,66.2,72,40,12.66,moderate rain
286,Gat,IL,31.61,34.7642,57.0,100,100,7.31,overcast clouds
287,Alihe,CN,50.5667,123.7167,-10.14,88,100,2.13,overcast clouds
288,Abapo,BO,-18.8333,-63.4667,78.96,53,89,3.06,overcast clouds
289,Mbuguni,TZ,-3.5667,36.95,78.8,57,20,9.22,few clouds
290,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.6,66,25,15.88,scattered clouds
291,Buchanan,LR,5.8808,-10.0467,78.8,94,40,8.63,mist
292,Carlos Chagas,BR,-17.7031,-40.7664,85.23,52,82,7.18,broken clouds
293,Caibarien,CU,22.5206,-79.4669,75.2,43,1,10.36,clear sky
294,Belfast,GB,54.5833,-5.9333,46.0,93,90,6.91,light rain
295,Touros,BR,-5.1989,-35.4608,84.2,58,0,14.97,clear sky
296,Ventspils,LV,57.3894,21.5606,21.2,86,40,1.14,scattered clouds
297,Kahului,US,20.8947,-156.47,71.6,64,40,6.91,scattered clouds
298,Hami,CN,42.8,93.45,25.63,86,0,0.63,clear sky
299,Kattivakkam,IN,13.2167,80.3167,71.6,78,40,9.31,mist
300,Oranjestad,AW,12.524,-70.027,84.2,74,40,20.71,scattered clouds
301,Damara,CF,4.9608,18.7035,80.6,54,0,0.85,clear sky
302,El Salto,MX,20.3333,-104.5,87.01,14,0,4.0,clear sky
303,Saldanha,ZA,-33.0117,17.9442,62.6,82,0,8.05,clear sky
304,Sun Valley,US,39.5963,-119.776,41.0,51,1,3.44,clear sky
305,Nikolskoye,RU,59.7035,30.7861,10.0,85,20,6.71,few clouds
